"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","725.36","720.01","725.36","720.01","1.49B","1.31%"
"04/27/2023","716.00","712.67","718.66","709.60","1.07B","0.50%"
"04/26/2023","712.46","713.19","714.40","708.69","1.24B","-0.33%"
"04/25/2023","714.79","727.87","729.25","714.08","1.60B","-2.03%"
"04/24/2023","729.59","726.62","732.26","725.06","1.10B","-0.12%"
"04/21/2023","730.44","741.77","742.57","730.02","1.74B","-0.86%"
"04/20/2023","736.76","738.50","741.97","734.66","1.69B","-0.21%"
"04/19/2023","738.33","744.16","746.71","737.63","2.02B","-0.78%"
"04/18/2023","744.15","749.69","749.69","742.94","1.67B","-0.75%"
"04/17/2023","749.78","748.10","749.78","744.44","1.58B","0.26%"
"04/14/2023","747.81","744.47","751.08","744.47","1.61B","0.91%"
"04/13/2023","741.08","748.15","749.48","741.08","1.71B","-1.40%"
"04/12/2023","751.64","752.49","753.72","747.81","1.53B","-0.15%"
"04/11/2023","752.76","752.99","755.38","748.97","1.47B","0.04%"
"04/10/2023","752.47","752.35","755.51","751.66","1.24B","0.11%"
"04/07/2023","751.61","754.80","755.46","750.36","1.17B","0.01%"
"04/06/2023","751.53","753.67","753.67","746.32","1.35B","-0.57%"
"03/31/2023","755.86","756.95","760.64","754.93","1.43B","0.09%"
"03/30/2023","755.15","752.14","756.07","751.33","1.32B","0.96%"
"03/29/2023","747.95","749.59","751.21","742.63","1.31B","0.44%"
"03/28/2023","744.64","750.70","753.51","743.89","1.48B","-1.21%"
"03/27/2023","753.73","757.51","759.55","753.71","1.40B","-0.91%"
"03/24/2023","760.67","757.22","761.04","756.51","1.73B","0.48%"
"03/23/2023","757.05","747.62","758.28","746.80","1.52B","0.78%"
"03/22/2023","751.21","737.69","751.21","737.69","1.60B","1.96%"
"03/21/2023","736.79","732.43","737.77","732.43","1.62B","0.71%"
"03/20/2023","731.57","733.72","735.71","729.99","1.28B","-0.33%"
"03/17/2023","733.96","728.36","733.96","728.36","1.72B","1.90%"
"03/16/2023","720.25","722.59","724.96","718.23","1.36B","-0.82%"
"03/15/2023","726.17","727.56","733.11","726.17","1.36B","0.40%"
"03/14/2023","723.27","731.59","731.59","722.95","1.33B","-1.31%"
"03/13/2023","732.87","729.35","733.84","721.60","1.55B","0.39%"
"03/10/2023","730.04","740.36","740.36","727.49","1.79B","-1.61%"
"03/09/2023","741.98","743.48","747.61","741.98","2.00B","-0.13%"
"03/08/2023","742.94","742.42","743.35","739.03","1.61B","-0.30%"
"03/07/2023","745.21","740.91","747.07","739.12","1.62B","0.57%"
"03/06/2023","740.98","736.68","744.41","736.68","1.81B","1.17%"
"03/03/2023","732.41","733.91","739.77","732.17","1.74B","-0.01%"
"03/02/2023","732.46","731.90","733.52","726.90","1.26B","-0.16%"
"03/01/2023","733.63","717.36","734.47","715.82","1.33B","1.55%"
"02/24/2023","722.40","733.43","736.97","722.40","1.37B","-1.03%"
"02/23/2023","729.90","720.59","732.19","720.59","1.42B","1.73%"
"02/22/2023","717.47","726.76","726.76","714.69","1.33B","-1.40%"
"02/21/2023","727.64","725.53","728.23","724.21","1.37B","0.13%"
"02/20/2023","726.70","722.56","728.66","721.07","1.48B","0.28%"
"02/17/2023","724.70","728.34","728.34","721.62","1.21B","-0.93%"
"02/16/2023","731.53","728.03","733.63","727.06","1.33B","0.87%"
"02/15/2023","725.19","727.78","731.60","722.12","1.20B","-1.97%"
"02/14/2023","739.80","737.05","740.98","737.05","969.67M","0.72%"
"02/13/2023","734.48","737.41","737.82","731.72","984.34M","-0.59%"
"02/10/2023","738.87","740.80","741.58","736.14","1.21B","0.08%"
"02/09/2023","738.31","737.13","739.01","735.00","1.29B","-0.08%"
"02/08/2023","738.92","733.35","739.57","732.32","1.54B","2.24%"
"02/07/2023","722.70","722.36","726.78","720.71","1.11B","-0.15%"
"02/06/2023","723.79","731.01","731.01","723.79","1.17B","-1.84%"
"02/03/2023","737.34","735.47","737.87","730.89","1.45B","0.24%"
"02/02/2023","735.60","729.73","736.06","729.73","1.75B","1.74%"
"02/01/2023","722.99","719.48","722.99","715.70","1.39B","1.37%"
"01/31/2023","713.25","722.43","724.52","712.68","1.57B","-2.02%"
"01/30/2023","727.95","718.66","727.95","718.66","1.73B","5.16%"
"01/17/2023","692.21","692.47","692.85","689.13","684.26M","-0.12%"
"01/16/2023","693.03","692.96","694.52","691.70","647.63M","0.76%"
"01/13/2023","687.83","695.55","697.76","687.64","806.94M","0.97%"
"01/12/2023","681.21","684.21","685.58","679.54","711.27M","-0.18%"
"01/11/2023","682.41","685.65","686.99","680.45","832.38M","-0.27%"
"01/10/2023","684.28","683.36","685.25","680.41","1.01B","0.64%"
"01/09/2023","679.91","666.66","679.91","666.66","1.19B","3.37%"
"01/06/2023","657.75","651.56","658.35","651.56","834.59M","0.63%"
"01/05/2023","653.61","654.04","657.31","651.49","904.33M","0.88%"
"01/04/2023","647.92","647.35","652.25","646.74","818.52M","-0.37%"
"01/03/2023","650.32","641.38","650.92","637.89","704.34M","1.06%"
"12/30/2022","643.47","648.77","651.91","643.47","584.98M","0.26%"
"12/29/2022","641.79","640.41","644.29","636.42","661.31M","-0.60%"
"12/28/2022","645.67","649.84","649.84","641.64","721.72M","-1.40%"
"12/27/2022","654.82","654.17","660.05","654.17","542.45M","0.28%"
"12/26/2022","652.96","652.47","653.86","650.98","481.03M","0.06%"
"12/23/2022","652.59","655.05","655.05","649.60","675.37M","-1.58%"
"12/22/2022","663.10","659.47","664.06","659.47","1.02B","1.44%"
"12/21/2022","653.71","654.14","657.84","651.81","1.21B","0.21%"
"12/20/2022","652.32","665.00","667.40","651.49","1.51B","-2.13%"
"12/19/2022","666.51","667.56","669.62","664.00","1.17B","-0.69%"
"12/16/2022","671.15","671.12","671.98","666.40","1.66B","-1.71%"
"12/15/2022","682.84","680.91","684.33","678.65","988.96M","-0.24%"
"12/14/2022","684.45","674.33","684.45","674.33","1.06B","1.82%"
"12/13/2022","672.21","677.19","679.29","671.78","1.06B","-0.73%"
"12/12/2022","677.18","679.10","679.10","673.90","963.35M","-0.79%"
"12/09/2022","682.59","678.47","685.39","678.42","1.23B","1.34%"
"12/08/2022","673.59","677.39","677.59","668.70","1.07B","-0.54%"
"12/07/2022","677.26","683.62","688.99","677.26","1.44B","-1.13%"
"12/06/2022","684.98","697.19","697.32","684.98","1.36B","-1.99%"
"12/05/2022","698.88","699.22","706.02","698.88","1.56B","-0.06%"
"12/02/2022","699.31","694.81","701.94","694.38","1.52B","-0.17%"
"12/01/2022","700.50","703.89","707.82","700.33","1.84B","1.42%"
"11/30/2022","690.70","681.22","690.70","681.22","1.54B","1.07%"
"11/29/2022","683.39","673.81","684.52","670.61","1.24B","0.84%"
"11/28/2022","677.71","682.27","685.13","677.71","1.10B","-2.07%"
"11/25/2022","692.05","691.30","694.73","690.82","1.15B","-0.10%"
"11/24/2022","692.74","686.66","692.81","686.57","1.07B","1.24%"
"11/23/2022","684.27","686.44","689.03","682.63","1.02B","0.20%"
"11/22/2022","682.90","674.21","683.32","672.07","1.03B","0.78%"
"11/21/2022","677.59","683.66","684.70","676.64","1.08B","-0.77%"
"11/18/2022","682.83","687.02","691.67","681.14","1.46B","0.00%"
"11/17/2022","682.86","679.13","683.35","673.13","1.44B","0.03%"
"11/16/2022","682.66","685.20","687.46","676.17","1.64B","0.71%"
"11/15/2022","677.87","662.99","681.58","662.62","1.72B","4.07%"
"11/14/2022","651.33","650.93","654.81","646.98","1.57B","0.86%"
"11/11/2022","645.75","641.79","649.51","640.61","2.14B","4.93%"
"11/10/2022","615.40","617.60","618.03","613.05","1.36B","-1.30%"
"11/09/2022","623.52","608.01","623.52","608.01","1.73B","3.25%"
"11/08/2022","603.92","600.23","606.23","600.23","1.58B","1.18%"
"11/07/2022","596.90","593.37","599.38","592.07","1.47B","1.57%"
"11/04/2022","587.69","584.56","588.69","581.00","1.30B","0.02%"
"11/03/2022","587.57","586.35","588.71","583.58","1.17B","-1.15%"
"11/02/2022","594.43","588.39","594.43","586.62","1.15B","0.90%"
"11/01/2022","589.10","584.76","590.55","583.24","1.11B","0.49%"
"10/31/2022","586.21","580.03","587.13","577.59","1.12B","1.97%"
"10/28/2022","574.91","578.32","579.02","570.99","1.16B","-1.24%"
"10/27/2022","582.14","576.07","583.49","576.07","1.30B","2.01%"
"10/26/2022","570.68","568.32","574.05","567.25","1.18B","0.40%"
"10/25/2022","568.43","579.22","579.49","567.77","1.18B","-2.33%"
"10/24/2022","582.00","586.28","592.09","581.94","1.20B","0.21%"
"10/21/2022","580.80","588.35","590.57","580.80","1.13B","-1.48%"
"10/20/2022","589.54","585.51","589.54","577.49","1.66B","0.03%"
"10/19/2022","589.35","596.66","599.31","589.35","1.33B","-1.57%"
"10/18/2022","598.73","598.48","601.63","591.26","1.47B","1.28%"
"10/17/2022","591.15","591.36","592.51","584.67","1.54B","-1.62%"
"10/14/2022","600.87","595.72","605.07","595.72","1.40B","3.38%"
"10/13/2022","581.20","591.63","593.80","581.20","1.54B","-1.40%"
"10/12/2022","589.48","588.69","592.55","584.60","1.32B","-0.29%"
"10/11/2022","591.22","605.32","605.32","591.19","1.44B","-5.80%"
"10/07/2022","627.63","637.09","637.09","626.45","928.74M","-1.89%"
"10/06/2022","639.75","638.97","640.53","635.49","1.05B","0.88%"
"10/05/2022","634.18","629.76","640.46","629.76","1.50B","2.50%"
"10/04/2022","618.74","611.85","618.99","611.85","1.11B","2.74%"
"10/03/2022","602.21","604.53","609.88","601.16","895.17M","-1.05%"
"09/30/2022","608.58","607.61","611.93","602.78","1.17B","-1.17%"
"09/29/2022","615.78","620.42","624.25","613.32","1.24B","0.01%"
"09/28/2022","615.71","632.61","634.88","615.71","1.46B","-2.75%"
"09/27/2022","633.14","631.58","635.34","628.59","1.14B","0.54%"
"09/26/2022","629.73","637.20","637.20","627.72","1.43B","-2.42%"
"09/23/2022","645.37","652.22","654.58","645.30","1.08B","-1.69%"
"09/22/2022","656.45","656.14","657.90","649.32","1.19B","-0.95%"
"09/21/2022","662.73","668.08","669.11","660.51","1.20B","-1.10%"
"09/20/2022","670.13","665.93","670.98","664.45","1.11B","1.10%"
"09/19/2022","662.82","668.52","669.56","661.86","1.03B","-0.75%"
"09/16/2022","667.84","670.10","670.10","666.12","1.61B","-0.97%"
"09/15/2022","674.40","674.62","679.33","673.58","1.41B","-0.17%"
"09/14/2022","675.52","675.79","677.76","668.58","1.23B","-1.91%"
"09/13/2022","688.64","688.87","691.55","686.45","1.25B","0.83%"
"09/12/2022","682.95","679.91","687.31","679.91","1.31B","1.77%"
"09/08/2022","671.06","665.81","671.06","665.09","1.21B","1.15%"
"09/07/2022","663.43","669.43","669.43","662.71","1.22B","-2.11%"
"09/06/2022","677.74","679.97","683.78","675.40","1.42B","0.06%"
"09/05/2022","677.35","678.88","682.86","675.58","1.46B","-0.21%"
"09/02/2022","678.75","683.16","684.75","678.75","1.62B","-0.79%"
"09/01/2022","684.18","693.15","693.15","683.11","1.61B","-2.35%"
"08/31/2022","700.66","689.61","700.66","687.97","1.37B","1.19%"
"08/30/2022","692.40","690.44","696.43","690.44","1.43B","0.21%"
"08/29/2022","690.92","705.23","705.23","686.52","1.41B","-2.44%"
"08/26/2022","708.17","705.28","711.99","705.28","1.56B","0.56%"
"08/25/2022","704.20","700.02","706.91","700.02","1.27B","0.93%"
"08/24/2022","697.71","700.90","704.62","697.23","1.22B","-0.30%"
"08/23/2022","699.80","706.53","706.53","698.91","1.26B","-1.10%"
"08/22/2022","707.57","716.30","716.30","707.06","1.57B","-1.44%"
"08/19/2022","717.88","716.58","721.50","715.26","2.00B","0.17%"
"08/18/2022","716.64","715.47","716.64","711.67","1.42B","-0.62%"
"08/17/2022","721.13","719.65","721.87","716.71","1.51B","0.20%"
"08/16/2022","719.72","720.45","722.07","717.73","1.66B","0.09%"
"08/15/2022","719.09","713.89","720.23","713.34","1.64B","1.17%"
"08/12/2022","710.74","706.73","711.39","706.11","1.53B","0.60%"
"08/11/2022","706.51","703.14","706.97","701.86","1.84B","2.10%"
"08/10/2022","691.97","693.50","694.77","690.92","1.47B","-1.23%"
"08/09/2022","700.60","697.35","702.00","692.84","1.49B","-0.07%"
"08/08/2022","701.07","698.98","702.55","696.53","1.45B","-0.28%"
"08/05/2022","703.03","692.45","703.36","692.45","1.47B","2.53%"
"08/04/2022","685.65","685.87","688.92","678.18","1.42B","-0.29%"
"08/03/2022","687.67","683.29","687.67","680.95","1.25B","0.79%"
"08/02/2022","682.31","687.95","687.95","677.88","1.35B","-1.84%"
"08/01/2022","695.09","697.10","697.10","691.40","1.19B","-0.48%"
"07/29/2022","698.46","695.94","700.88","694.31","1.64B","0.89%"
"07/28/2022","692.33","699.04","701.49","690.42","1.65B","-0.28%"
"07/27/2022","694.27","685.70","694.27","681.64","1.46B","1.23%"
"07/26/2022","685.85","693.52","693.52","682.61","1.35B","-1.11%"
"07/25/2022","693.56","693.89","695.92","690.85","1.27B","-0.49%"
"07/22/2022","696.97","698.91","701.45","694.45","1.91B","-0.09%"
"07/21/2022","697.60","686.25","697.60","685.86","1.80B","1.81%"
"07/20/2022","685.19","687.63","691.75","682.84","1.77B","0.89%"
"07/19/2022","679.15","677.99","682.11","676.07","1.30B","-0.69%"
"07/18/2022","683.87","680.21","684.71","677.20","1.60B","0.93%"
"07/15/2022","677.56","667.53","678.98","663.50","1.60B","2.14%"
"07/14/2022","663.35","651.70","664.49","647.42","1.60B","1.09%"
"07/13/2022","656.17","652.08","660.03","652.08","1.52B","3.25%"
