Date,Price
04/28/2023,725.36
04/27/2023,716
04/26/2023,712.46
04/25/2023,714.79
04/24/2023,729.59
04/21/2023,730.44
04/20/2023,736.76
04/19/2023,738.33
04/18/2023,744.15
04/17/2023,749.78
04/14/2023,747.81
04/13/2023,741.08
04/12/2023,751.64
04/11/2023,752.76
04/10/2023,752.47
04/07/2023,751.61
04/06/2023,751.53
03/31/2023,755.86
03/30/2023,755.15
03/29/2023,747.95
03/28/2023,744.64
03/27/2023,753.73
03/24/2023,760.67
03/23/2023,757.05
03/22/2023,751.21
03/21/2023,736.79
03/20/2023,731.57
03/17/2023,733.96
03/16/2023,720.25
03/15/2023,726.17
03/14/2023,723.27
03/13/2023,732.87
03/10/2023,730.04
03/09/2023,741.98
03/08/2023,742.94
03/07/2023,745.21
03/06/2023,740.98
03/03/2023,732.41
03/02/2023,732.46
03/01/2023,733.63
02/24/2023,722.4
02/23/2023,729.9
02/22/2023,717.47
02/21/2023,727.64
02/20/2023,726.7
02/17/2023,724.7
02/16/2023,731.53
02/15/2023,725.19
02/14/2023,739.8
02/13/2023,734.48
02/10/2023,738.87
02/09/2023,738.31
02/08/2023,738.92
02/07/2023,722.7
02/06/2023,723.79
02/03/2023,737.34
02/02/2023,735.6
02/01/2023,722.99
01/31/2023,713.25
01/30/2023,727.95
01/17/2023,692.21
01/16/2023,693.03
01/13/2023,687.83
01/12/2023,681.21
01/11/2023,682.41
01/10/2023,684.28
01/09/2023,679.91
01/06/2023,657.75
01/05/2023,653.61
01/04/2023,647.92
01/03/2023,650.32
12/30/2022,643.47
12/29/2022,641.79
12/28/2022,645.67
12/27/2022,654.82
12/26/2022,652.96
12/23/2022,652.59
12/22/2022,663.1
12/21/2022,653.71
12/20/2022,652.32
12/19/2022,666.51
12/16/2022,671.15
12/15/2022,682.84
12/14/2022,684.45
12/13/2022,672.21
12/12/2022,677.18
12/09/2022,682.59
12/08/2022,673.59
12/07/2022,677.26
12/06/2022,684.98
12/05/2022,698.88
12/02/2022,699.31
12/01/2022,700.5
11/30/2022,690.7
11/29/2022,683.39
11/28/2022,677.71
11/25/2022,692.05
11/24/2022,692.74
11/23/2022,684.27
11/22/2022,682.9
11/21/2022,677.59
11/18/2022,682.83
11/17/2022,682.86
11/16/2022,682.66
11/15/2022,677.87
11/14/2022,651.33
11/11/2022,645.75
11/10/2022,615.4
11/09/2022,623.52
11/08/2022,603.92
11/07/2022,596.9
11/04/2022,587.69
11/03/2022,587.57
11/02/2022,594.43
11/01/2022,589.1
10/31/2022,586.21
10/28/2022,574.91
10/27/2022,582.14
10/26/2022,570.68
10/25/2022,568.43
10/24/2022,582
10/21/2022,580.8
10/20/2022,589.54
10/19/2022,589.35
10/18/2022,598.73
10/17/2022,591.15
10/14/2022,600.87
10/13/2022,581.2
10/12/2022,589.48
10/11/2022,591.22
10/07/2022,627.63
10/06/2022,639.75
10/05/2022,634.18
10/04/2022,618.74
10/03/2022,602.21
09/30/2022,608.58
09/29/2022,615.78
09/28/2022,615.71
09/27/2022,633.14
09/26/2022,629.73
09/23/2022,645.37
09/22/2022,656.45
09/21/2022,662.73
09/20/2022,670.13
09/19/2022,662.82
09/16/2022,667.84
09/15/2022,674.4
09/14/2022,675.52
09/13/2022,688.64
09/12/2022,682.95
09/08/2022,671.06
09/07/2022,663.43
09/06/2022,677.74
09/05/2022,677.35
09/02/2022,678.75
09/01/2022,684.18
08/31/2022,700.66
08/30/2022,692.4
08/29/2022,690.92
08/26/2022,708.17
08/25/2022,704.2
08/24/2022,697.71
08/23/2022,699.8
08/22/2022,707.57
08/19/2022,717.88
08/18/2022,716.64
08/17/2022,721.13
08/16/2022,719.72
08/15/2022,719.09
08/12/2022,710.74
08/11/2022,706.51
08/10/2022,691.97
08/09/2022,700.6
08/08/2022,701.07
08/05/2022,703.03
08/04/2022,685.65
08/03/2022,687.67
08/02/2022,682.31
08/01/2022,695.09
07/29/2022,698.46
07/28/2022,692.33
07/27/2022,694.27
07/26/2022,685.85
07/25/2022,693.56
07/22/2022,696.97
07/21/2022,697.6
07/20/2022,685.19
07/19/2022,679.15
07/18/2022,683.87
07/15/2022,677.56
07/14/2022,663.35
07/13/2022,656.17
07/12/2022,635.53
07/11/2022,652.87
07/08/2022,659.34
07/07/2022,650.23
07/06/2022,626.04
07/05/2022,641.33
07/04/2022,634
07/01/2022,644.77
06/30/2022,672.12
06/29/2022,694.42
06/28/2022,703.18
06/27/2022,708.39
06/24/2022,693.98
06/23/2022,690.74
06/22/2022,702.62
06/21/2022,722.89
06/20/2022,707.17
06/17/2022,717.27
06/16/2022,728.15
06/15/2022,734.89
06/14/2022,739.23
06/13/2022,742.36
06/10/2022,762.1
06/09/2022,771.33
06/08/2022,773.16
06/07/2022,763.94
06/06/2022,769.95
06/02/2022,767.43
06/01/2022,775.45
05/31/2022,783.4
05/30/2022,770.38
05/27/2022,751.23
05/26/2022,735.6
05/25/2022,744.29
05/24/2022,736.97
05/23/2022,748.56
05/20/2022,751.66
05/19/2022,746.29
05/18/2022,758.95
05/17/2022,749.05
05/16/2022,737.78
05/13/2022,731.1
05/12/2022,720.44
05/11/2022,736.03
05/10/2022,735.54
05/09/2022,734.22
05/06/2022,747.08
05/05/2022,762.55
05/04/2022,752.82
05/03/2022,749.92
